Year,"Age Groups, Broad",Cases
2014,0-4 years,262
2013,0-4 years,296
2012,0-4 years,261
2011,0-4 years,351
2010,0-4 years,365
2009,0-4 years,403
2008,0-4 years,499
2007,0-4 years,467
2006,0-4 years,482
2005,0-4 years,474
2004,0-4 years,549
2003,0-4 years,547
2002,0-4 years,556
2001,0-4 years,543
2000,0-4 years,544
1999,0-4 years,602
1998,0-4 years,638
1997,0-4 years,734
1996,0-4 years,770
1995,0-4 years,894
1994,0-4 years,995
1993,0-4 years,1014
