Year,Years in U.S.,Cases
2014,1-4 years,919
2013,1-4 years,994
2012,1-4 years,1109
2011,1-4 years,1118
2010,1-4 years,1277
2009,1-4 years,1433
2008,1-4 years,1557
2007,1-4 years,1656
2006,1-4 years,1679
2005,1-4 years,1720
2004,1-4 years,1805
2003,1-4 years,1953
2002,1-4 years,1900
2001,1-4 years,1757
2000,1-4 years,1570
1999,1-4 years,1582
1998,1-4 years,1544
1997,1-4 years,1303
1996,1-4 years,1269
1995,1-4 years,1263
1994,1-4 years,1333
1993,1-4 years,1162
